Id,Egap
13062,3.1320772
587,3.0209036
2333,2.6130056
7740,5.486505
9463,1.6115853
5652,1.119911
8999,0.97387576
11427,5.594905
3677,2.663624
2200,0.6123989
3384,1.8002238
9808,0.3411804
12316,3.0852942
3503,3.387947
1050,4.045426
10152,0.49985677
4642,5.3692427
8043,2.9138985
4272,1.5981152
13114,2.8163574
12585,3.8168163
5682,4.6805267
3550,1.0782826
5290,1.0259969
13010,2.0085342
13152,4.2544684
7914,2.9404016
5671,2.162715
7291,1.3372396
8457,3.942314
11554,1.8346317
8712,3.7086174
2732,1.9602579
5523,1.0971237
2890,3.5747988
7605,1.1105869
5970,2.4431984
8319,2.37517
6136,2.3439543
342,1.5762318
6646,3.936667
5132,1.2684165
2729,1.0653107
1407,0.518504
11633,1.2386044
10307,1.0171816
5622,5.286501
7175,2.6014755
1884,2.322096
7753,1.9303252
4965,3.0426888
5758,1.4959773
9283,2.2254112
8899,2.5627563
11298,2.3420875
9885,0.882482
5554,4.751416
11654,2.4043686
12742,1.4757357
11185,4.259204
4598,2.0318582
4960,4.062911
12958,2.556978
8392,2.7883873
6635,3.5984547
2407,0.3906384
9531,3.3255358
4374,1.219189
13182,1.3366953
3099,1.2915858
4941,3.5771482
8780,0.9590471
10954,2.9720626
9580,1.3040426
12972,2.4098141
940,1.1090877
6126,3.0734494
783,2.3456483
3664,1.2015721
1196,1.7846801
5282,1.8685079
1728,2.4839637
2856,4.003559
10747,2.7707539
5980,1.0469788
3969,2.884311
9831,2.9036562
3286,2.8625684
8659,3.1261346
8555,4.8562527
310,2.463453
7619,1.3998684
9796,1.2580031
12856,1.9462534
10964,2.166006
11556,1.6635193
5476,1.2723325
5090,0.6801877
9266,1.878746
2467,5.1409016
2145,1.448415
42,1.8769761
12355,4.8648477
12821,1.3011681
13217,2.552396
2916,2.5182803
3327,4.0888267
7479,4.018745
6617,3.3906715
13413,3.0711207
8395,2.0160213
4214,2.8307855
11808,1.31478
12696,1.1691889
11908,4.358041
8503,1.4003431
13433,2.2898695
480,2.109152
12424,1.1203365
9555,1.6844538
1777,0.8186376
9072,1.8120087
8602,0.6237231
1905,2.949151
11462,2.373469
2382,2.933772
5752,3.3698127
4807,1.670436
7043,2.4108927
9374,2.7407308
6055,3.1515036
2771,1.3812988
12667,3.275275
5069,0.9252123
10637,0.9190888
3229,4.1123476
2787,0.524305
2360,2.5605962
10195,1.7231019
4836,4.6202455
5874,2.9775534
5450,6.2692227
3973,2.9181106
12845,1.146728
13097,1.1868181
4530,2.8243194
5722,1.6435376
7622,2.562929
1051,0.8904917
918,2.9931276
117,0.9053132
2223,2.9319918
6078,3.9103935
3347,1.9703994
10939,1.4952508
1548,3.0629172
4038,2.7995732
5820,5.2231746
9618,1.6382215
5470,2.1108139
6913,3.335715
8243,2.295738
7927,2.1457741
13443,1.1950897
11944,2.1702945
10194,0.90296507
9398,3.4766185
8883,1.8426781
5310,0.8904917
7080,1.4163786
5488,1.7132044
9220,1.5714809
7329,1.9954567
3898,1.3310461
12524,1.0442898
387,3.866984
4617,2.9936724
2643,1.8515943
12218,2.242957
3,2.4706326
6650,4.3534803
2037,3.3820336
3711,2.8764415
13353,0.88764375
3562,1.555561
13450,6.234578
4134,2.8375564
13473,0.626807
11570,1.764208
10471,0.4769447
716,3.2753773
4814,1.4470572
12560,3.6454618
4063,1.0889127
10394,2.0510123
6734,3.528298
3748,0.9093364
12184,2.5370815
4545,2.9980326
13398,1.3406107
6808,1.9681747
7810,4.2009377
9070,3.2052884
10585,4.097065
6479,1.5651023
11898,1.8338981
13581,0.98053324
12143,2.7612412
12275,3.5013764
7328,3.0732312
3428,2.830214
9651,1.5350826
9314,2.913353
4566,2.3186104
12141,2.838794
1920,2.016301
3692,1.4330624
2797,1.6978778
10233,2.5448503
2271,1.3947142
2931,3.158276
12646,0.95396334
13361,1.1303443
2677,5.006703
3848,1.0802866
861,4.5355177
1082,2.799683
4459,2.529164
5999,0.41442063
10431,3.670133
12152,3.7219634
3567,1.8366374
11580,1.8617374
2415,1.0256866
